customer_id,customer_name,address,phone,customer_type,created_at
1,Black Ltd,"8811 Amber Place, East Judithview, SC 46789",001-411-451-3307x210,residential,2024-05-02
2,Carrie Terrell,"642 Case Pine Apt. 851, Fletcherbury, NJ 64177",(978)348-1218,residential,2025-02-15
3,"Smith, Marquez and Ortega","45259 Maldonado Neck Apt. 086, Housechester, MP 29106",(228)632-9429x075,residential,2025-03-27
4,Joshua Smith,"7581 Johnson Stravenue Apt. 832, South Stephanie, ID 96503",393-308-1931x195,commercial,2023-11-05
5,Ross Gonzalez,"3697 Sarah Mews Suite 055, South Justinport, PA 43614",287-381-2349,residential,2024-09-14
6,Courtney Santos,"798 Jo Passage, West Roseburgh, DE 73932",(977)573-0425,residential,2025-06-15
7,"Rodriguez, Lee and Shepard","018 Phillips Gardens, Hendrickston, OR 64858",261-635-9032x156,commercial,2025-03-17
8,Jason Dixon,"320 Dylan Meadow Suite 991, New Edwardmouth, AK 75532",488.334.5986x12517,commercial,2024-09-21
9,Vincent Booth,"42625 Smith Court, New Jamesville, GA 83053",+1-994-314-6621x9009,commercial,2024-10-04
10,Wilkins-Hines,"625 Edgar Villages Apt. 715, North Anthony, GU 35059",683.535.6173,commercial,2024-12-26
11,Banks-Anderson,"74882 Ingram Brooks Apt. 320, Port Jill, PW 26863",+1-582-748-8299x142,residential,2024-05-10
12,Traci Oliver,"27846 Randall Curve Suite 422, Williamsview, NJ 34870",3259796178,residential,2024-06-19
13,Combs Ltd,"6838 George Extensions, West Alexanderville, DE 81150",547.724.2620,residential,2023-09-30
14,Ralph Greene,"570 Jonathan Corners, Murphyborough, GA 31248",(652)410-5242x3339,residential,2024-04-08
15,Jack Boyd,"5542 Lisa Lake Suite 940, West Susantown, ID 53421",677.378.2842x912,commercial,2023-12-23
16,Robert Tyler,"23544 Matthew Bridge, Whitneychester, OR 30421",(676)469-9865,commercial,2024-08-27
17,Dr. Stephanie Mathews,"1043 Robert Viaduct Suite 751, Omarbury, AK 51379",445-618-5648,residential,2024-04-13
18,Green-Leon,"46298 Jasmine View Suite 458, Melissastad, PR 03175",775.390.9541x8509,residential,2025-01-14
19,Kyle Duncan,"511 Allison Gateway, Yangton, MD 51736",321-687-5344,residential,2024-07-24
20,"Huff, Holland and Porter","USNV Hanna, FPO AA 73763",001-810-500-1726x897,residential,2024-08-19
21,Kim and Sons,"51470 Bonnie Freeway, North Crystal, HI 74554",899.331.9338,residential,2023-08-20
